player_id,mu,sigma_sq,firstName,lastName,sigma,con_rating
8471214,1635.1489128823164,321.6891434578178,Alex,Ovechkin,17.93569467452593,1599.2775235332645
8477492,1631.8032217168723,315.24629743114366,Nathan,MacKinnon,17.755176637565274,1596.2928684417418
8470638,1629.6015707822162,323.0429113754161,Patrice,Bergeron,17.97339454236222,1593.6547816974917
8475794,1627.4852590192465,306.04334594783853,Tyler,Seguin,17.494094602117553,1592.4970698150114
8476453,1626.565601643168,307.54981810884715,Nikita,Kucherov,17.53709833777661,1591.491404967615
8474141,1625.0864752459302,318.87077192944713,Patrick,Kane,17.85695304158711,1589.372569162756
8475158,1619.6853918133252,318.0226683945889,Ryan,O'Reilly,17.833190079023687,1584.0190116552778
8477956,1619.0071086321964,317.76114264478684,David,Pastrnak,17.82585601436259,1583.3553966034713
8479318,1616.8911669708011,322.1116177483654,Auston,Matthews,17.947468282417034,1580.996230405967
8473419,1615.871777534339,315.31175202903864,Brad,Marchand,17.75701979581705,1580.3577379427047
8471218,1614.8437501596218,322.42068040302354,Blake,Wheeler,17.956076420059688,1578.9315973195023
8474157,1614.2615670609089,312.26524515567144,Max,Pacioretty,17.671028412508182,1578.9195102358924
8473994,1613.78546940552,305.0063495442184,Jamie,Benn,17.46443098254903,1578.8566074404218
8473512,1614.2351941865725,313.73362202498214,Claude,Giroux,17.71252726250498,1578.8101396615625
8475166,1614.6818743930755,328.22546399157466,John,Tavares,18.11699379012905,1578.4478868128174
8478402,1614.401932337744,328.1077083331066,Connor,McDavid,18.113743631096984,1578.17444507555
8470794,1613.1694879404936,306.5344468515718,Joe,Pavelski,17.508125166663955,1578.1532376071657
8473604,1613.726878625645,318.65060056403803,Jonathan,Toews,17.850787113291055,1578.0253043990629
8474565,1613.0665846066483,318.7234842581816,Alex,Pietrangelo,17.852828466609473,1577.3609276734294
8475913,1612.214916073182,313.8406189830638,Mark,Stone,17.715547380283336,1576.7838213126154
8474600,1612.2080128013806,323.66018822840715,Roman,Josi,17.99055830785713,1576.2268961856664
8478010,1611.3514564712018,310.4619948969957,Brayden,Point,17.619931750633874,1576.111592969934
8470613,1611.8199835910848,326.5606759261064,Brent,Burns,18.070989898898908,1575.678003793287
8476455,1611.5049290234415,328.43567817112296,Gabriel,Landeskog,18.12279443604443,1575.2593401513527
8476461,1610.2890734975747,314.4669947131106,Sean,Couturier,17.733217269100116,1574.8226389593744
8475848,1610.2846442676541,328.0940797048851,Brendan,Gallagher,18.113367431399528,1574.057909404855
8476539,1609.2700903893117,312.962615504264,Jonathan,Marchessault,17.690749433086886,1573.8885915231378
8475167,1608.8149161679871,308.8997038377101,Victor,Hedman,17.575542775052785,1573.6638306178816
8477934,1609.4930071843414,321.97190797982745,Leon,Draisaitl,17.94357567431384,1573.6058558357138
8477500,1608.9323841004812,312.7977576300571,Bo,Horvat,17.686089382055524,1573.56020533637
8474590,1609.2339886899865,322.8276830320607,John,Carlson,17.967406129769003,1573.2991764304486
8478550,1608.7737852940425,324.78569982003074,Artemi,Panarin,18.021811779619462,1572.7301617348035
8475768,1608.3820175784067,317.82344427060406,Jaden,Schwartz,17.82760343598107,1572.7268107064447
8475191,1607.5525173353483,309.0326000789021,Reilly,Smith,17.579323083637266,1572.3938711680737
8475314,1607.5339379616023,309.6560521992786,Anders,Lee,17.597046689694228,1572.3398445822138
8474564,1608.9361403451203,337.0058661341055,Steven,Stamkos,18.357719524333774,1572.2207012964527
8477493,1608.3281555401707,326.41470167215687,Aleksander,Barkov,18.0669505360522,1572.1942544680662
8476887,1607.754612783377,328.8350692410645,Filip,Forsberg,18.13381011373684,1571.4869925559035
8471675,1607.8689806950324,349.9252056988078,Sidney,Crosby,18.7062878652823,1570.4564049644678
8477496,1606.0515444620853,317.7368251212204,Elias,Lindholm,17.825173915595336,1570.4011966308947
8476468,1605.757890970036,312.7835105892197,J.T.,Miller,17.68568660214298,1570.38651776575
8475170,1605.6187028176284,317.8056543802173,Brayden,Schenn,17.827104486713967,1569.9644938442004
8478427,1605.5572257729611,321.0175041105114,Sebastian,Aho,17.916961352598587,1569.723303067764
8477497,1605.1760657347359,317.7414018174802,Sean,Monahan,17.82530229245721,1569.5254611498215
8474102,1605.072509053709,317.7911246119667,David,Perron,17.826696963037396,1569.419115127634
8476459,1605.6366078233652,335.405631512095,Mika,Zibanejad,18.314082873900485,1569.0084420755643
8476460,1604.9890176116498,324.8308776316057,Mark,Scheifele,18.023065156393507,1568.9428872988628
8475754,1603.9647552882004,309.64192356085726,Brock,Nelson,17.596645235977718,1568.771464816245
